type,skill,job,cv
general,product,8,13
general,,7,17
general,are,7,0
soft,team,4,2
general,is,4,0
general,source,4,0
general,have,4,0
soft,experience,3,3
general,manager,3,2
general,company,3,2
general,product manager,3,2
hard,software,2,2
general,skills,2,2
general,new,2,1
general,understanding,2,1
general,customer,2,1
general,stakeholders,2,1
general,free,2,1
hard,data,2,0
general,experienced,2,0
general,responsible,2,0
general,needs,2,0
general,improving,2,0
general,n26com,2,0
general,least,2,0
general,strong,2,0
general,priorities,2,0
general,not,2,0
general,lunch,2,0
general,source n26com,2,0
hard,development,1,5
hard,technical,1,2
general,build,1,2
general,market,1,2
general,lifecycle,1,2
general,manage,1,2
general,ux,1,2
soft,ability,1,1
soft,research,1,1
general,industry,1,1
general,vision,1,1
general,customers,1,1
general,roadmaps,1,1
general,met,1,1
general,communicating,1,1
general,crossfunctional,1,1
general,eg,1,1
general,maintaining,1,1
general,business,1,1
general,agile,1,1
general,well,1,1
general,top,1,1
general,gym,1,1
general,membership,1,1
general,free gym,1,1
general,gym membership,1,1
general,free gym membership,1,1
hard,windows,1,0
hard,customer service,1,0
hard,analytics,1,0
soft,collaborating,1,0
soft,customer service,1,0
soft,interpersonal,1,0
soft,motivated,1,0
general,job,1,0
general,description,1,0
general,template,1,0
general,seeking,1,0
general,successful,1,0
general,candidate,1,0
general,be,1,0
general,bringing,1,0
general,lines,1,0
general,consumers,1,0
general,engaging,1,0
general,functional,1,0
general,way,1,0
general,opening,1,0
general,up,1,0
general,fresh,1,0
general,distribution,1,0
general,channels,1,0
general,other,1,0
general,departments,1,0
general,indeed,1,0
general,founding,1,0
general,brings,1,0
general,significant,1,0
general,venture,1,0
general,broad,1,0
general,automate,1,0
general,offices,1,0
general,world,1,0
general,make,1,0
general,lives,1,0
general,easier,1,0
general,share,1,0
general,passion,1,0
general,reduce,1,0
general,workflow,1,0
general,future,1,0
general,more,1,0
general,productive,1,0
general,workplace,1,0
general,happy,1,0
general,hear,1,0
general,responsibilities,1,0
general,taking,1,0
general,full,1,0
general,ownership,1,0
general,life,1,0
general,cycle,1,0
general,creating,1,0
general,implementing,1,0
general,timelines,1,0
general,processes,1,0
general,developing,1,0
general,interfacing,1,0
general,operations,1,0
general,sales,1,0
general,service,1,0
general,ensure,1,0
general,desired,1,0
general,economic,1,0
general,operational,1,0
general,kpis,1,0
general,guiding,1,0
general,success,1,0
general,engineers,1,0
general,designers,1,0
general,qualifications,1,0
general,bachelors,1,0
general,degree,1,0
general,relevant,1,0
general,field,1,0
general,background,1,0
